Seconds, Profile
0.0, 0.00014331114300772385
0.001, 0.00014331114300772385
0.002, 0.00014331114300772385
0.003, 0.00014331114300772385
0.004, 0.00014331114300772385
0.005, 0.00014331114300772385
0.006, 0.00014331114300772385
0.007, 0.00014331114300772385
0.008, 0.00014331114300772385
0.009, 0.00014331114300772385
0.01, 0.00014331114300772385
0.011, 0.00014331114300772385
0.012, 0.00014331114300772385
0.013, 0.00014331114300772385
0.014, 0.00014331114300772385
0.015, 0.00014331114300772385
0.016, 0.00014331114300772385
0.017, 0.00014331114300772385
0.018, 0.00014331114300772385
0.019, 0.00014331114300772385
0.02, 0.00014331114300772385
0.021, 0.00014331114300772385
0.022, 0.00014331114300772385
0.023, 0.00014331114300772385
0.024, 0.00014331114300772385
0.025, 0.00014331114300772385
0.026, 0.00014331114300772385
0.027, 0.00014331114300772385
0.028, 0.00014331114300772385
0.029, 0.00014331114300772385
0.03, 0.00014331114300772385
0.031, 0.00014331114300772385
0.032, 0.00014331114300772385
0.033, 0.00014331114300772385
0.034, 0.00014331114300772385
0.035, 0.00014331114300772385
0.036, 0.00014331114300772385
0.037, 0.00014331114300772385
0.038, 0.00014331114300772385
0.039, 0.00014331114300772385
0.04, 0.00014331114300772385
0.041, 0.00014331114300772385
0.042, 0.00014331114300772385
0.043, 0.00014331114300772385
0.044, 0.00014331114300772385
0.045, 0.00014331114300772385
0.046, 0.00014331114300772385
0.047, 0.00014331114300772385
0.048, 0.00014331114300772385
0.049, 0.00014331114300772385
0.05, 0.00014331114300772385
0.051, 0.00014331114300772385
0.052, 0.00014331114300772385
0.053, 0.00014331114300772385
0.054, 0.00014331114300772385
0.055, 0.00014331114300772385
0.056, 0.00014331114300772385
0.057, 0.00014331114300772385
0.058, 0.00014331114300772385
0.059, 0.00014331114300772385
0.06, 0.00014331114300772385
0.061, 0.00014331114300772385
0.062, 0.00014331114300772385
0.063, 0.00014331114300772385
0.064, 0.00014331114300772385
0.065, 0.00014331114300772385
0.066, 0.00014331114300772385
0.067, 0.00014331114300772385
0.068, 0.00014331114300772385
0.069, 0.00014331114300772385
0.07, 0.00014331114300772385
0.071, 0.00014331114300772385
0.072, 0.00014331114300772385
0.073, 0.00014331114300772385
0.074, 0.00014331114300772385
0.075, 0.00014331114300772385
0.076, 0.00014331114300772385
0.077, 0.00014331114300772385
0.078, 0.00014331114300772385
0.079, 0.00014331114300772385
0.08, 0.00014331114300772385
0.081, 0.00014331114300772385
0.082, 0.00014331114300772385
0.083, 0.00014331114300772385
0.084, 0.00014331114300772385
0.085, 0.00014331114300772385
0.086, 0.00014331114300772385
0.087, 0.00014331114300772385
0.088, 0.00014331114300772385
0.089, 0.00014331114300772385
0.09, 0.00014331114300772385
0.091, 0.00014331114300772385
0.092, 0.00014331114300772385
0.093, 0.00014331114300772385
0.094, 0.00014331114300772385
0.095, 0.00014331114300772385
0.096, 0.00014331114300772385
0.097, 0.00014331114300772385
0.098, 0.00014331114300772385
0.099, 0.00014331114300772385
0.1, 0.00014331114300772385
0.101, 0.00014331114300772385
0.102, 0.00014331114300772385
0.103, 0.00014331114300772385
0.104, 0.00014331114300772385
0.105, 0.00014331114300772385
0.106, 0.00014331114300772385
0.107, 0.00014331114300772385
0.108, 0.00014331114300772385
0.109, 0.00014331114300772385
0.11, 0.00014331114300772385
0.111, 0.00014331114300772385
0.112, 0.00014331114300772385
0.113, 0.00014331114300772385
0.114, 0.00014331114300772385
0.115, 0.00014331114300772385
0.116, 0.00014331114300772385
0.117, 0.00014331114300772385
0.118, 0.00014331114300772385
0.119, 0.00014331114300772385
0.12, 0.00014331114300772385
0.121, 0.00014331114300772385
0.122, 0.00014331114300772385
